,Unnamed: 0,lex,PC 1,Aktionsart,0
0,0,"<BD[#עבד_work, serve",0.18941234511899888,stative,?
1,1,<BR[#עבר_pass,0.07685166663147636,stative,?
2,2,<FH[#עשׂה_make,-0.3115934198466329,active,EXP
3,3,<LH[#עלה_ascend,-0.20051059036791946,active,EXP
4,4,<MD[#עמד_stand,0.018437583884925952,stative,EXP
5,5,>KL[#אכל_eat,-0.07701615054311424,active,EXP
6,6,>MR[#אמר_say,-0.4574481686384985,active,EXP
7,7,BKH[#בכה_weep,-0.16018029296686911,active,EXP
8,8,BRX[#ברח_run away,-0.27483527115412804,active,EXP
9,9,BW>[#בוא_come,-0.2659588703673419,active,EXP
10,10,BXR[#בחר_examine,0.4338069229622127,stative,EXP
11,11,C>L[#שׁאל_ask,0.2089136967058295,stative,?
12,12,CKB[#שׁכב_lie down,0.1869090401570292,stative,EXP
13,13,CKN[#שׁכן_dwell,0.2388693776144224,stative,EXP
14,14,CLX[#שׁלח_send,-0.3786281153810633,active,EXP
15,15,CM<[#שׁמע_hear,0.075358058272181,stative,EXP
16,16,CWB[#שׁוב_return,-0.3475404715901675,active,EXP
17,17,"DBQ[#דבק_cling, cleave to",0.6735163248986605,stative,EXP
18,18,DRC[#דרשׁ_inquire,0.2284218530315305,stative,?
19,19,FJM[#שׂים_put,0.037617745833415615,stative,EXP
20,20,HLK[#הלך_walk,0.019145739289239145,stative,?
21,21,JCB[#ישׁב_sit,0.5048445967579744,stative,EXP
22,22,JLD[#ילד_bear,-0.35135766597758045,active,?
23,23,JR>[#ירא_fear,-0.3610638383059988,active,?
24,24,JRD[#ירד_descend,-0.2616344644565918,active,EXP
25,25,JVB[#יטב_be good,0.2355753982665982,stative,EXP
26,26,JY>[#יצא_go out,-0.3198931363499093,active,EXP
27,27,LQX[#לקח_take,-0.3473449681247711,active,?
28,28,MCL[#משׁל_rule,0.6568978579725834,stative,?
29,29,MLK[#מלך_be king,0.2455556733468938,stative,?
30,30,NCQ[#נשׁק_kiss,-0.34883862060854504,active,EXP
31,31,NF>[#נשׂא_lift,-0.1617410931459198,active,EXP
32,32,NG<[#נגע_touch,0.6459896248183751,stative,?
33,33,NGC[#נגשׁ_approach,-0.4779443578251354,active,EXP
34,34,NPL[#נפל_fall,-0.11455901624773257,active,?
35,35,NS<[#נסע_pull out,-0.3505674980516809,active,EXP
36,36,NTN[#נתן_give,-0.2652874219295692,active,?
37,37,NVH[#נטה_extend,-0.16143943684447898,active,EXP
38,38,NWS[#נוס_flee,-0.3129651363330524,active,EXP
39,39,PFH[#פשׂה_spread,0.7418691681625336,stative,?
40,40,PG<[#פגע_meet,0.6596153799177854,stative,?
41,41,PNH[#פנה_turn,-0.4351629226220057,active,EXP
42,42,QR>[#קרא_call,-0.3041852648808109,active,EXP
43,43,QRB[#קרב_approach,-0.41813845938345984,active,EXP
44,44,QWM[#קום_arise,-0.2037155352252424,active,EXP
45,45,QYP[#קצף_be angry,-0.19408843298550488,active,?
46,46,R<<[#רעע_be evil,0.6119754328341217,stative,EXP
47,47,R>H[#ראה_see,0.43058509456079797,stative,EXP
48,48,RXY[#רחץ_wash,0.7419558380703698,stative,?
49,49,SWR[#סור_turn aside,-0.3613948618385223,active,EXP
50,50,TQ<[#תקע_blow,0.7421942684721082,stative,?
51,51,VWB[#טוב_be good,0.11390310780279027,stative,EXP
52,52,XNH[#חנה_encamp,0.4933827487365918,stative,EXP
53,53,XPY[#חפץ_desire,0.7418258396172155,stative,EXP
54,54,XRH[#חרה_be hot,0.35520063292650755,stative,EXP
55,55,XV>[#חטא_miss,-0.20596940773916544,active,?
56,56,XZQ[#חזק_be strong,-0.04927864387824465,active,?
57,57,Y<Q[#צעק_cry,-0.4906834853675105,active,EXP
58,58,"YRR[#צרר_wrap, be narrow",-0.363001149379218,active,?
59,59,YWR[#צור_bind,-0.22374270902378615,active,?
60,60,Z<Q[#זעק_cry,-0.38793081797824414,active,EXP
61,61,ZBX[#זבח_slaughter,-0.36299132130475664,active,?
